location_id,location_name,sex_name,age_group_id,age_group_name,year_id,sample_size,age_sex_split,outlier
298,American Samoa,Male,11,30 to 34,2023,1535.804026877749,no,yes
298,American Samoa,Male,12,35 to 39,2023,1537.4599074062733,no,yes
298,American Samoa,Male,13,40 to 44,2023,1609.9155389104085,no,yes
298,American Samoa,Male,14,45 to 49,2023,1685.7405540071709,no,yes
298,American Samoa,Male,15,50 to 54,2023,1592.5162735223864,no,yes
298,American Samoa,Male,16,55 to 59,2023,1500.1974352663217,no,yes
298,American Samoa,Male,17,60 to 64,2023,1083.0752754360656,no,yes
298,American Samoa,Male,18,65 to 69,2023,762.992628387191,no,yes
298,American Samoa,Male,19,70 to 74,2023,500.5285952053648,no,yes
298,American Samoa,Male,20,75 to 79,2023,249.16696508143505,no,yes
298,American Samoa,Male,30,80 to 84,2023,116.35381725078112,no,yes
298,American Samoa,Male,31,85 to 89,2023,41.84897997531758,no,yes
298,American Samoa,Male,32,90 to 94,2023,9.282269123513167,no,yes
298,American Samoa,Male,235,95 plus,2023,1.737034712747528,no,yes
298,American Samoa,Female,9,20 to 24,2023,1745.138789767792,no,yes
298,American Samoa,Female,10,25 to 29,2023,1466.7877052833448,no,yes
298,American Samoa,Female,11,30 to 34,2023,1500.4249280777626,no,yes
298,American Samoa,Female,12,35 to 39,2023,1446.1283843137571,no,yes
298,American Samoa,Female,13,40 to 44,2023,1515.9696313946497,no,yes
298,American Samoa,Female,14,45 to 49,2023,1577.4697127281574,no,yes
298,American Samoa,Female,15,50 to 54,2023,1478.769751278863,no,yes
298,American Samoa,Female,16,55 to 59,2023,1383.4761629094364,no,yes
298,American Samoa,Female,17,60 to 64,2023,1047.4541559267293,no,yes
298,American Samoa,Female,18,65 to 69,2023,775.4633802219124,no,yes
298,American Samoa,Female,19,70 to 74,2023,546.9471211672843,no,yes
298,American Samoa,Female,20,75 to 79,2023,310.6492613075476,no,yes
298,American Samoa,Female,30,80 to 84,2023,168.8211935524185,no,yes
298,American Samoa,Female,31,85 to 89,2023,85.8349975421888,no,yes
298,American Samoa,Female,32,90 to 94,2023,28.624275259750668,no,yes
298,American Samoa,Female,235,95 plus,2023,7.192905385958549,no,yes
351,Guam,Male,9,20 to 24,2023,5997.193337941958,no,no
351,Guam,Male,10,25 to 29,2023,6068.106105924644,no,no
351,Guam,Male,11,30 to 34,2023,5665.000888692181,no,no
351,Guam,Male,12,35 to 39,2023,5048.686970473041,no,no
351,Guam,Male,13,40 to 44,2023,4680.069653082195,no,no
351,Guam,Male,14,45 to 49,2023,4682.035043055769,no,no
351,Guam,Male,15,50 to 54,2023,4945.5730040442095,no,no
351,Guam,Male,16,55 to 59,2023,5071.503914768821,no,no
351,Guam,Male,17,60 to 64,2023,4553.637704259097,no,no
351,Guam,Male,18,65 to 69,2023,3568.71657408757,no,no
351,Guam,Male,19,70 to 74,2023,2522.9665649154804,no,no
351,Guam,Male,20,75 to 79,2023,1639.4519562485457,no,no
351,Guam,Male,30,80 to 84,2023,816.4151441591677,no,no
351,Guam,Male,31,85 to 89,2023,428.6889167091712,no,no
351,Guam,Male,32,90 to 94,2023,132.58709519381262,no,no
351,Guam,Male,235,95 plus,2023,28.78920716109344,no,yes
351,Guam,Female,9,20 to 24,2023,5353.908280025411,no,no
351,Guam,Female,10,25 to 29,2023,5490.245520467684,no,no
351,Guam,Female,11,30 to 34,2023,5126.979192912891,no,no
351,Guam,Female,12,35 to 39,2023,4706.235611915778,no,no
351,Guam,Female,13,40 to 44,2023,4557.290375678867,no,no
351,Guam,Female,14,45 to 49,2023,4753.377569480106,no,no
351,Guam,Female,15,50 to 54,2023,5160.101165707882,no,no
351,Guam,Female,16,55 to 59,2023,4940.511469490257,no,no
351,Guam,Female,17,60 to 64,2023,4575.835023464452,no,no
351,Guam,Female,18,65 to 69,2023,3775.485820301331,no,no
351,Guam,Female,19,70 to 74,2023,2953.4568879191656,no,no
351,Guam,Female,20,75 to 79,2023,1893.37809034242,no,no
351,Guam,Female,30,80 to 84,2023,1026.6659180199708,no,no
351,Guam,Female,31,85 to 89,2023,602.0432299926211,no,no
351,Guam,Female,32,90 to 94,2023,239.61414784653465,no,yes
351,Guam,Female,235,95 plus,2023,76.4330908990405,no,yes
376,Northern Mariana Islands,Male,9,20 to 24,2023,1805.463056292535,no,no
376,Northern Mariana Islands,Male,10,25 to 29,2023,1407.1528447094515,no,no
376,Northern Mariana Islands,Male,11,30 to 34,2023,1930.3686919105444,no,no
376,Northern Mariana Islands,Male,12,35 to 39,2023,1722.6868282575094,no,no
376,Northern Mariana Islands,Male,13,40 to 44,2023,2006.779419314822,no,no
376,Northern Mariana Islands,Male,14,45 to 49,2023,1474.002712543601,no,no
376,Northern Mariana Islands,Male,15,50 to 54,2023,2426.9079657662232,no,no
