year,age_key,population,internal_proxy_population_2023,relative_difference_vs_internal_2023_pct
2044,55-59,165493302,158690707.40123406,NA
2044,60-64,142614932,115454879.15522063,NA
2044,65-69,125421004,102279276.13948205,NA
2044,70-74,134198642,78450201.79620078,NA
2044,75-79,111163491,47292203.690509714,NA
2044,80-84,68054650,28544607.78563273,NA
2044,85-89,38298210,15615216.903292721,NA
2044,90-94,16009256,5900606.059086778,NA
2044,95+,3259594,1778940.7581121721,NA
2045,20-24,101210606,131749697.5566825,NA
2045,25-29,138088246,139696327.26449484,NA
2045,30-34,151408506,168364801.39735228,NA
2045,35-39,143314957,175975858.43011886,NA
2045,40-44,135509649,146041571.45187494,NA
2045,45-49,138643190,149727843.74405357,NA
2045,50-54,152506961,164412029.64128557,NA
2045,55-59,169735512,158690707.40123406,NA
2045,60-64,145381673,115454879.15522063,NA
2045,65-69,124746568,102279276.13948205,NA
2045,70-74,130795321,78450201.79620078,NA
2045,75-79,113762285,47292203.690509714,NA
2045,80-84,74879607,28544607.78563273,NA
2045,85-89,37199906,15615216.903292721,NA
2045,90-94,17054060,5900606.059086778,NA
2045,95+,3638455,1778940.7581121721,NA
2046,20-24,98342366,131749697.5566825,NA
2046,25-29,130221742,139696327.26449484,NA
2046,30-34,151407804,168364801.39735228,NA
2046,35-39,145057351,175975858.43011886,NA
2046,40-44,135550494,146041571.45187494,NA
2046,45-49,137236985,149727843.74405357,NA
2046,50-54,146761833,164412029.64128557,NA
2046,55-59,170738290,158690707.40123406,NA
2046,60-64,148659276,115454879.15522063,NA
2046,65-69,125906939,102279276.13948205,NA
2046,70-74,126537327,78450201.79620078,NA
2046,75-79,116166452,47292203.690509714,NA
2046,80-84,81529216,28544607.78563273,NA
2046,85-89,36077261,15615216.903292721,NA
2046,90-94,17859403,5900606.059086778,NA
2046,95+,4048221,1778940.7581121721,NA
2047,20-24,96669808,131749697.5566825,NA
2047,25-29,120858297,139696327.26449484,NA
2047,30-34,150534355,168364801.39735228,NA
2047,35-39,147372357,175975858.43011886,NA
2047,40-44,136612370,146041571.45187494,NA
2047,45-49,135839687,149727843.74405357,NA
2047,50-54,143566373,164412029.64128557,NA
2047,55-59,167106714,158690707.40123406,NA
2047,60-64,152078500,115454879.15522063,NA
2047,65-69,129254234,102279276.13948205,NA
2047,70-74,122223423,78450201.79620078,NA
2047,75-79,118284074,47292203.690509714,NA
2047,80-84,85513964,28544607.78563273,NA
2047,85-89,36771222,15615216.903292721,NA
2047,90-94,18626691,5900606.059086778,NA
2047,95+,4498507,1778940.7581121721,NA
2048,20-24,95729428,131749697.5566825,NA
2048,25-29,112347533,139696327.26449484,NA
2048,30-34,147728094,168364801.39735228,NA
2048,35-39,149378774,175975858.43011886,NA
2048,40-44,138353047,146041571.45187494,NA
2048,45-49,134893212,149727843.74405357,NA
2048,50-54,140880486,164412029.64128557,NA
2048,55-59,162074247,158690707.40123406,NA
2048,60-64,155963735,115454879.15522063,NA
2048,65-69,132873767,102279276.13948205,NA
2048,70-74,118032368,78450201.79620078,NA
2048,75-79,118953836,47292203.690509714,NA
2048,80-84,86887351,28544607.78563273,NA
2048,85-89,40811325,15615216.903292721,NA
2048,90-94,19214424,5900606.059086778,NA
2048,95+,4949941,1778940.7581121721,NA
2049,20-24,95068695,131749697.5566825,NA
2049,25-29,105446927,139696327.26449484,NA
2049,30-34,143426278,168364801.39735228,NA
2049,35-39,150399550,175975858.43011886,NA
2049,40-44,140464136,146041571.45187494,NA
2049,45-49,134533016,149727843.74405357,NA
2049,50-54,138393473,164412029.64128557,NA
2049,55-59,156352206,158690707.40123406,NA
2049,60-64,160360074,115454879.15522063,NA
2049,65-69,135371181,102279276.13948205,NA
2049,70-74,115373520,78450201.79620078,NA
2049,75-79,117566091,47292203.690509714,NA
2049,80-84,88650092,28544607.78563273,NA
2049,85-89,46042046,15615216.903292721,NA
2049,90-94,19088414,5900606.059086778,NA
2049,95+,5352620,1778940.7581121721,NA
2050,20-24,94494424,131749697.5566825,NA
2050,25-29,100385061,139696327.26449484,NA
2050,30-34,137613048,168364801.39735228,NA
2050,35-39,150797776,175975858.43011886,NA
2050,40-44,142438092,146041571.45187494,NA
2050,45-49,134222336,149727843.74405357,NA
2050,50-54,136610117,164412029.64128557,NA
2050,55-59,149277048,158690707.40123406,NA
2050,60-64,164572884,115454879.15522063,NA
2050,65-69,138117239,102279276.13948205,NA
2050,70-74,114877380,78450201.79620078,NA
2050,75-79,114684308,47292203.690509714,NA
2050,80-84,91046205,28544607.78563273,NA
2050,85-89,50839176,15615216.903292721,NA
2050,90-94,18553023,5900606.059086778,NA
2050,95+,5770578,1778940.7581121721,NA
